stock,isin,sector,timeframe,mode,status,exit_reason,regime,fib_class,zoi_position,signal_date,signal_close,planned_entry,stop_loss,target,entry_date,entry_fill,exit_date,exit_fill,shares,capital_deployed,hold_trading_bars,hold_calendar_days,R_multiple,mfe_R,pnl_rupees
ARE&M,INE885A01032,auto,1w,FIB,WIN,TARGET,BULL,IN_POCKET_UP,,2020-06-08,656.7,656.7,623.87,722.35,2020-06-15,649.32,2020-07-21,721.99,154,99996,27,36,2.85,2.87,11190
ARE&M,INE885A01032,auto,1w,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2020-08-10,742.75,742.75,703.96,820.35,2020-08-17,743.12,2020-09-22,703.6,134,99578,27,36,-1.01,1.29,-5296
ARE&M,INE885A01032,auto,1w,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2021-11-08,696.7,696.7,661.87,766.35,2021-11-15,690.34,2021-11-18,661.52,144,99410,4,3,-1.01,0.15,-4151
ARE&M,INE885A01032,auto,1w,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2022-09-05,535.75,535.75,516.9,573.45,2022-09-14,536.02,2022-09-16,516.64,186,99699,3,2,-1.01,0.41,-3604
ARE&M,INE885A01032,auto,1w,FIB,WIN,TIME,BULL,IN_POCKET_UP,,2023-08-14,627.65,627.65,596.27,690.4,2023-08-21,627.96,2023-10-03,642.98,159,99846,30,43,0.47,1.45,2387
ARE&M,INE885A01032,auto,1w,FIB,LOSS,SL,NEUTRAL,IN_POCKET_UP,,2024-12-09,1293.7,1293.7,1229.01,1423.05,2024-12-16,1294.15,2024-12-18,1228.39,77,99649,3,2,-1.01,0.25,-5064
ARE&M,INE885A01032,auto,1w,FIB,LOSS,SL,BEAR,IN_POCKET_UP,,2024-12-16,1197.35,1197.35,1137.48,1317.1,2024-12-23,1197.95,2025-01-07,1136.93,83,99430,11,15,-1.01,0.73,-5064
ARE&M,INE885A01032,auto,1w,ZOI,NO_FILL,,,,,2022-10-31,,,,,,,,,,,,,,,
ARE&M,INE885A01032,auto,1w,ZOI,LOSS,TIME,BEAR,,FAR_ABOVE_DEMAND,2023-01-23,579.55,579.55,470.94,796.75,2023-01-30,577.34,2023-03-13,572.61,173,99880,30,42,-0.04,0.4,-817
ARE&M,INE885A01032,auto,1w,ZOI,WIN,TIME,BULL,,INSIDE_DEMAND_UP,2023-08-14,627.65,627.65,588.24,706.5,2023-08-21,627.96,2023-10-03,642.98,159,99846,30,43,0.38,1.16,2387
ARE&M,INE885A01032,auto,1w,ZOI,WIN,TARGET,BULL,,NEAR_ABOVE_DEMAND_UP,2023-11-13,639.2,639.2,589.29,739,2023-11-20,639.52,2023-12-01,738.63,156,99765,9,11,1.97,3.87,15461
ARE&M,INE885A01032,auto,1w,ZOI,WIN,TIME,NEUTRAL,,FAR_ABOVE_DEMAND,2023-11-28,769.2,769.2,587.32,1132.95,2023-12-05,769.58,2024-01-16,803.7,129,99276,30,42,0.19,0.4,4401
ARE&M,INE885A01032,auto,1w,ZOI,LOSS,SL,BULL,,RECOVERY_ABOVE_DEMAND,2024-02-05,870.7,870.7,760.05,1092,2024-02-12,871.14,2024-03-20,759.67,114,99309,28,37,-1,0.22,-12707
ARE&M,INE885A01032,auto,1w,ZOI,WIN,TARGET,BULL,,FAR_ABOVE_DEMAND,2024-04-08,891.35,891.35,723.31,1227.45,2024-04-15,865.43,2024-05-24,1226.84,115,99525,28,39,2.54,2.9,41561
